order,family,sp,occurrence_id,decimal_latitude,decimal_longitude
Chiroptera,Phyllostomidae,Platyrrhinus helleri,FCIE:MZFC-M:0163,15.96556,-93.8
Chiroptera,Phyllostomidae,Sturnira ludovici,FCIE:MZFC-M:6514,17.54667,-96.84667
Chiroptera,Phyllostomidae,Macrotus waterhousii,FCIE:MZFC-M:9490,19.15278,-101.88333
Chiroptera,Phyllostomidae,Sturnira lilium,FCIE:MZFC-M:6451,17.95222,-88.88222
Chiroptera,Phyllostomidae,Artibeus jamaicensis,FCIE:MZFC-M:3406,18.07222,-97.10972
Chiroptera,Phyllostomidae,Sturnira ludovici,FCIE:MZFC-M:10015,15.10611,-92.10331
Chiroptera,Phyllostomidae,Sturnira ludovici,FCIE:MZFC-M:5811,20.65556,-98.98417
Chiroptera,Phyllostomidae,Artibeus lituratus,FCIE:MZFC-M:6419,20.86103,-99.78712
Chiroptera,Phyllostomidae,Anoura geoffroyi,FCIE:MZFC-M:4569,19.01861,-99.09917
Chiroptera,Phyllostomidae,Artibeus jamaicensis,FCIE:MZFC-M:9499,19.16389,-101.87
Chiroptera,Phyllostomidae,Artibeus aztecus,FCIE:MZFC-M:1063,21.12917,-99.65389
Chiroptera,Phyllostomidae,Sturnira ludovici,FCIE:MZFC-M:10034,20.32927,-98.23833
Chiroptera,Phyllostomidae,Sturnira lilium,FCIE:MZFC-M:6487,17.59028,-97.00167
Chiroptera,Phyllostomidae,Artibeus aztecus,FCIE:MZFC-M:7615,21.18389,-98.88833
Chiroptera,Phyllostomidae,Glossophaga soricina,FCIE:MZFC-M:9244,21.67611,-99.298330000000007
Chiroptera,Phyllostomidae,Sturnira ludovici,FCIE:MZFC-M:4777,17.605,-96.47722
Chiroptera,Phyllostomidae,Macrotus waterhousii,FCIE:MZFC-M:0242,17.77722,-99.58556
Chiroptera,Phyllostomidae,Artibeus jamaicensis,FCIE:MZFC-M:0375,16.71278,-98.675
Chiroptera,Phyllostomidae,Dermanura phaeotis,FCIE:MZFC-M:1079,18.90472,-102.79639
Chiroptera,Phyllostomidae,Sturnira ludovici,FCIE:MZFC-M:9718,20.01403,-97.50641
Chiroptera,Phyllostomidae,Artibeus aztecus,FCIE:MZFC-M:5956,21.40556,-99.59806
